fileId,gameLength,beesSpawned,beesKilled,beesKillRate,spraysSpawned,spraysCollected,spraysCollectRate,onionsSpawned,onionsCollected,onionsCollectRate
1,98.0,11,7,0.64,2,1,0.5,1,0,0.0
2,211.0,32,27,0.84,2,1,0.5,1,1,1.0
3,75.0,9,5,0.56,1,1,1.0,1,0,0.0
4,136.0,18,15,0.83,1,0,0.0,1,0,0.0
5,31.0,3,0,0.0,0,0,0,0,0,0
6,137.0,13,8,0.62,1,0,0.0,1,0,0.0
7,123.0,16,12,0.75,2,1,0.5,1,0,0.0
8,368.0,49,39,0.8,6,5,0.83,6,5,0.83
9,195.0,20,14,0.7,1,1,1.0,3,2,0.67
10,93.0,11,5,0.45,1,0,0.0,2,1,0.5
11,35.0,6,2,0.33,1,0,0.0,0,0,0
12,157.0,14,8,0.57,1,1,1.0,2,1,0.5
13,46.0,8,5,0.63,1,0,0.0,1,0,0.0
14,246.0,27,18,0.67,1,0,0.0,5,4,0.8
15,27.0,3,0,0.0,0,0,0,0,0,0
16,30.0,5,1,0.2,1,0,0.0,1,0,0.0
17,30.0,5,1,0.2,0,0,0,0,0,0
18,168.0,17,11,0.65,1,0,0.0,2,1,0.5
19,40.0,7,3,0.43,1,0,0.0,1,0,0.0
20,30.0,5,1,0.2,0,0,0,1,0,0.0
21,31.0,5,2,0.4,1,0,0.0,1,0,0.0
22,27.0,5,1,0.2,0,0,0,0,0,0
23,42.0,7,2,0.29,1,0,0.0,1,0,0.0
24,300.0,34,27,0.79,4,4,1.0,4,3,0.75
25,56.0,6,3,0.5,1,0,0.0,1,0,0.0
26,38.0,6,3,0.5,1,0,0.0,1,0,0.0
27,77.0,12,8,0.67,0,0,0,0,0,0
28,125.0,18,15,0.83,2,1,0.5,1,0,0.0
29,96.0,14,9,0.64,1,0,0.0,1,1,1.0
30,37.0,6,1,0.17,1,0,0.0,1,0,0.0
31,228.0,23,18,0.78,1,0,0.0,2,1,0.5
32,98.0,10,6,0.6,2,1,0.5,1,1,1.0
33,42.0,8,2,0.25,1,0,0.0,1,1,1.0
34,40.0,7,2,0.29,1,0,0.0,1,0,0.0
35,59.0,9,5,0.56,1,0,0.0,1,0,0.0
36,193.0,23,18,0.78,1,1,1.0,2,1,0.5
37,73.0,9,5,0.56,1,0,0.0,1,0,0.0
38,22.0,3,0,0.0,0,0,0,0,0,0
39,53.0,8,5,0.63,1,1,1.0,1,0,0.0
40,47.0,8,3,0.38,1,0,0.0,1,1,1.0
41,308.0,41,36,0.88,1,0,0.0,1,0,0.0
42,58.0,6,2,0.33,1,0,0.0,1,0,0.0
43,85.0,10,6,0.6,2,1,0.5,1,0,0.0
44,40.0,6,1,0.17,1,0,0.0,1,0,0.0
45,179.0,19,15,0.79,0,0,0,0,0,0
46,28.0,4,1,0.25,0,0,0,0,0,0
47,77.0,11,8,0.73,2,1,0.5,1,0,0.0
48,34.0,5,1,0.2,1,0,0.0,1,0,0.0
49,235.0,30,24,0.8,3,2,0.67,3,2,0.67
50,50.0,5,0,0.0,1,1,1.0,1,0,0.0
51,39.0,8,5,0.63,1,0,0.0,1,0,0.0
52,177.0,23,16,0.7,1,0,0.0,3,2,0.67
53,26.0,4,1,0.25,1,0,0.0,0,0,0
54,104.0,13,9,0.69,1,0,0.0,1,1,1.0
55,43.0,7,3,0.43,1,0,0.0,1,0,0.0
56,83.0,11,6,0.55,1,0,0.0,1,0,0.0
57,49.0,7,3,0.43,1,0,0.0,1,0,0.0
58,32.0,4,1,0.25,1,0,0.0,1,0,0.0
59,31.0,7,2,0.29,1,0,0.0,0,0,0
60,127.0,14,9,0.64,1,1,1.0,1,0,0.0
