time,message,beeId
2020-05-24T13:41:59,logger initialized,0
2020-05-24T13:41:59,bee spawned,1
2020-05-24T13:42:03,bee stung player,1
2020-05-24T13:42:03,bee spawned,2
2020-05-24T13:42:13,bee got damaged,2
2020-05-24T13:42:14,bee spawned,3
2020-05-24T13:42:14,bee died,2
2020-05-24T13:42:20,bee got damaged,3
2020-05-24T13:42:21,bee spawned,4
2020-05-24T13:42:21,bee died,3
2020-05-24T13:42:25,spray spawned,0
2020-05-24T13:42:29,bee spawned,5
2020-05-24T13:42:31,bee got damaged,4
2020-05-24T13:42:32,bee died,4
2020-05-24T13:42:33,onion spawned,0
2020-05-24T13:42:37,bee got damaged,5
2020-05-24T13:42:38,bee spawned,6
2020-05-24T13:42:38,bee died,5
2020-05-24T13:42:48,bee got damaged,6
2020-05-24T13:42:49,bee spawned,7
2020-05-24T13:42:49,bee died,6
2020-05-24T13:42:55,spray collected,0
2020-05-24T13:42:58,bee spawned,8
2020-05-24T13:43:04,bee got damaged,8
2020-05-24T13:43:07,bee got damaged,7
2020-05-24T13:43:07,bee died,8
2020-05-24T13:43:09,bee stung player,7
2020-05-24T13:43:09,bee spawned,9
2020-05-24T13:43:16,bee spawned,10
2020-05-24T13:43:25,bee spawned,11
2020-05-24T13:43:26,spray spawned,0
2020-05-24T13:43:26,bee numbed,9
2020-05-24T13:43:30,bee got damaged,9
2020-05-24T13:43:32,bee died,9
2020-05-24T13:43:37,bee stung player,10
