time,message,beeId
2020-05-24T17:52:07,logger initialized,0
2020-05-24T17:52:07,bee spawned,1
2020-05-24T17:52:14,bee got damaged,1
2020-05-24T17:52:14,bee spawned,2
2020-05-24T17:52:14,bee died,1
2020-05-24T17:52:22,bee got damaged,2
2020-05-24T17:52:24,bee spawned,3
2020-05-24T17:52:24,bee died,2
2020-05-24T17:52:30,bee got damaged,3
2020-05-24T17:52:30,bee stung player,3
2020-05-24T17:52:30,bee spawned,4
2020-05-24T17:52:33,bee spawned,5
2020-05-24T17:52:34,bee spawned,6
2020-05-24T17:52:37,onion spawned,0
2020-05-24T17:52:41,bee stung player,6
2020-05-24T17:52:41,bee spawned,7
2020-05-24T17:52:41,bee got damaged,4
2020-05-24T17:52:42,spray spawned,0
2020-05-24T17:52:42,bee got damaged,5
2020-05-24T17:52:42,bee died,4
2020-05-24T17:52:44,bee died,5
2020-05-24T17:52:52,bee got damaged,7
2020-05-24T17:52:53,bee spawned,8
2020-05-24T17:52:53,bee died,7
2020-05-24T17:52:58,bee spawned,9
2020-05-24T17:53:03,bee got damaged,8
2020-05-24T17:53:06,bee stung player,8
