time,message,beeId
2020-05-30T11:30:32,logger initialized,0
2020-05-30T11:30:32,bee spawned,1
2020-05-30T11:30:39,bee stung player,1
2020-05-30T11:30:39,bee spawned,2
2020-05-30T11:30:47,bee got damaged,2
2020-05-30T11:30:49,bee spawned,3
2020-05-30T11:30:49,bee died,2
2020-05-30T11:30:55,bee got damaged,3
2020-05-30T11:30:58,bee spawned,4
2020-05-30T11:30:58,bee died,3
2020-05-30T11:31:00,spray spawned,0
2020-05-30T11:31:04,bee spawned,5
2020-05-30T11:31:06,bee spawned,6
2020-05-30T11:31:07,bee stung player,4
2020-05-30T11:31:07,bee spawned,7
2020-05-30T11:31:08,onion spawned,0
2020-05-30T11:31:12,bee stung player,5
